RE	TF	cnt	HOTness
chrI:1870-2092	.	0	cold
chrI:3809-3994	aha-1,atf-7,athp-1,blmp-1,cebp-1,ceh-28,ceh-31,ceh-82,crh-2,daf-16,dao-5,die-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,elt-1,elt-2,elt-3,eor-1,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-30,hlh-4,irx-1,jun-1,let-607,lin-35,lir-3,lsy-12,lsy-2,madf-10,mdl-1,mls-2,nfya-1,nhr-102,nhr-12,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-76,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rbr-2,rec-8,repo-1,rnt-1,rpc-1,sem-4,sma-3,sma-9,snpc-4,snu-23,spr-1,swsn-7,tbx-2,unc-130,unc-55,unc-86,xbp-1,xnd-1,ztf-11,ztf-18,ztf-26,ztf-4,ztf-7	78	HOT
chrI:4302-4410	.	0	cold
chrI:11245-11465	atf-7,cebp-1,daf-16,dve-1,elt-2,hlh-30,let-607,lsy-12,nhr-71,nhr-80,pqm-1,snpc-4,zip-8,ztf-18	14	cold
chrI:13087-13207	nhr-90,repo-1	2	cold
chrI:15408-15593	ceh-28,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,nhr-80,pha-4,pqm-1,ztf-18	11	cold
chrI:15729-15874	snpc-4	1	cold
chrI:16977-17092	aha-1,aly-2,atf-7,athp-1,blmp-1,cebp-1,ceh-14,ceh-16,ceh-18,ceh-28,ceh-30,ceh-31,ceh-32,ceh-34,ceh-48,ceh-79,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dao-5,die-1,dmd-4,dpff-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-1,elt-2,elt-3,eor-1,ets-4,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,let-607,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mbf-1,mdl-1,mef-2,mls-2,nfya-1,nhr-10,nhr-102,nhr-12,nhr-20,nhr-21,nhr-23,nhr-237,nhr-25,nhr-47,nhr-48,nhr-71,nhr-76,nhr-80,nhr-84,nhr-85,nhr-90,pag-3,pax-1,pha-4,pop-1,rbr-2,ref-2,repo-1,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,unc-130,unc-30,unc-42,unc-55,unc-86,vab-15,xbp-1,xnd-1,zfp-2,ztf-11,ztf-18,ztf-26,ztf-4,ztf-7	108	HOT
chrI:22284-22401	cebp-1,dsc-1,efl-1,eor-1,let-607,lsy-2,nhr-47,nhr-71,nhr-90,rbr-2,snpc-4,snu-23,swsn-7,ztf-18	14	cold
chrI:22920-23021	.	0	cold
